year,fao_code,item,category,production_t,prod_loss_pct,prod_loss_t,postharvest_loss_pct,postharvest_loss_t,farmgate_t,farmgate_low,farmgate_high,retail_supply_t,dist_loss_pct,dist_loss_t,retail_loss_pct,retail_loss_t,retail_t,retail_low,retail_high,total_t
2013,403,Onions,Vegetables,3509.0,14.2,498.28,8.7,261.93,760.2,541.3,971.4,41500.92,2.5,1037.52,5.8,2346.88,3384.4,2381.7,4376.2,4144.6
2013,406,Green garlic,Vegetables,263.0,14.2,37.35,8.7,19.63,57.0,40.6,72.8,2247.7,2.5,56.19,5.8,127.11,183.3,129.0,237.0,240.3
2013,407,Leeks and other alliaceous vegetables,Other Storable,251.0,14.2,35.64,8.7,18.74,54.4,38.7,69.5,1131.82,2.5,28.3,5.8,64.0,92.3,65.0,119.4,146.7
2013,414,Green beans,Other Perishable,4500.0,14.2,639.0,8.7,335.91,974.9,694.1,1245.7,7573.27,2.5,189.33,5.8,428.27,617.6,434.6,798.6,1592.5
2013,417,"Peas, green",Vegetables,2333.0,14.2,331.29,8.7,174.15,505.4,359.9,645.8,0.0,2.5,0.0,5.8,0.0,0.0,0.0,0.0,505.4
2013,426,Carrots and turnips,Vegetables,11377.0,14.2,1615.53,8.7,849.25,2464.8,1754.9,3149.4,35639.48,2.5,890.99,5.8,2015.41,2906.4,2045.3,3758.2,5371.2
2013,446,Sweet corn,Other Perishable,8699.0,14.2,1235.26,8.7,649.35,1884.6,1341.8,2408.1,9800.12,2.5,245.0,5.8,554.2,799.2,562.5,1033.5,2683.8
2013,449,Mushrooms and truffles,Other Perishable,47909.4,14.2,6803.13,8.7,3576.25,10379.4,7389.9,13262.4,13213.98,2.5,330.35,5.8,747.25,1077.6,758.3,1393.4,11457.0
2013,486,Bananas,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,69736.36,2.5,1743.41,5.8,3943.59,5687.0,4002.1,7353.7,5687.0
2013,490,Oranges,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,38183.94,2.5,954.6,5.8,2159.3,3113.9,2191.4,4026.5,3113.9
